time_days,death,temperature,condition,antibiotics,replicate,OYSTER NUMBER_EXTRACTIONS,tempXtime
1,1,24,oshv1,A,1,1,24
2,1,24,oshv1,N,2,2,48
2,1,24,oshv1,N,1,3,48
2,1,24,oshv1,N,1,4,48
3,1,21,oshv1,N,1,5,63
3,1,21,oshv1,N,1,6,63
3,1,21,oshv1,N,1,7,63
3,1,21,oshv1,N,2,8,63
3,1,21,oshv1,N,2,9,63
3,1,21,oshv1,N,2,10,63
3,1,21,oshv1,A,1,11,63
3,1,21,oshv1,A,1,12,63
3,1,21,oshv1,A,2,13,63
3,1,24,oshv1,N,1,14,72
3,1,24,oshv1,N,2,15,72
3,1,24,oshv1,N,2,16,72
3,1,24,oshv1,A,1,17,72
3,1,24,oshv1,A,1,18,72
3,1,24,oshv1,A,1,19,72
4,1,21,oshv1,N,1,20,84
4,1,21,oshv1,A,2,21,84
4,1,24,oshv1,N,1,22,96
4,1,24,oshv1,N,2,23,96
4,1,24,oshv1,N,2,24,96
4,1,24,oshv1,A,2,25,96
4,1,24,oshv1,A,2,26,96
4,1,24,oshv1,A,1,27,96
4,1,24,oshv1,A,1,28,96
4,1,24,oshv1,A,1,29,96
5,1,21,oshv1,A,1,30,105
5,1,21,oshv1,A,1,31,105
5,1,21,oshv1,A,1,32,105
5,1,21,oshv1,N,2,33,105
5,1,21,oshv1,N,2,34,105
5,1,24,oshv1,N,1,35,120
5,1,24,oshv1,N,1,36,120
5,1,24,oshv1,N,1,37,120
5,1,24,oshv1,A,2,38,120
5,1,24,oshv1,A,2,39,120
5,1,24,oshv1,A,2,40,120
5,1,24,oshv1,A,1,41,120
5,1,24,oshv1,A,1,42,120
6,1,18,oshv1,N,2,43,108
6,1,18,oshv1,N,2,44,108
6,1,18,oshv1,N,2,45,108
6,1,18,oshv1,N,2,46,108
6,1,21,oshv1,N,1,47,126
6,1,21,oshv1,N,1,48,126
6,1,21,oshv1,N,2,49,126
6,1,21,oshv1,N,2,50,126
6,1,24,oshv1,N,1,51,144
6,1,24,oshv1,N,1,52,144
7,1,21,oshv1,A,2,53,147
7,1,21,oshv1,A,1,54,147
7,1,21,oshv1,A,1,55,147
7,1,18,oshv1,N,1,56,126
7,1,18,oshv1,A,2,57,126
7,1,18,oshv1,N,2,58,126
7,1,18,oshv1,N,2,59,126
8,1,21,oshv1,A,2,60,168
8,1,24,oshv1,A,2,61,192
8,1,24,oshv1,A,2,62,192
8,1,18,oshv1,N,1,63,144
9,1,18,oshv1,N,1,64,162
9,1,18,oshv1,N,1,65,162
9,1,18,oshv1,N,1,66,162
9,1,18,oshv1,N,1,67,162
9,1,18,oshv1,N,2,68,162
9,1,24,oshv1,A,2,69,216
9,1,21,oshv1,A,1,70,189
9,1,21,oshv1,A,2,71,189
9,1,21,oshv1,A,2,72,189
9,1,21,oshv1,N,1,73,189
9,1,21,oshv1,N,1,74,189
9,1,21,oshv1,N,1,75,189
10,1,21,oshv1,A,2,76,210
10,1,21,oshv1,A,1,77,210
10,1,21,oshv1,A,1,78,210
10,1,24,oshv1,A,1,79,240
10,1,24,oshv1,A,2,80,240
11,1,18,oshv1,A,2,81,198
11,1,18,oshv1,A,2,82,198
11,1,18,oshv1,A,1,83,198
11,1,18,oshv1,A,1,84,198
11,1,18,oshv1,A,1,85,198
11,1,18,oshv1,A,1,86,198
11,1,18,oshv1,A,1,87,198
12,1,18,oshv1,A,2,88,216
12,1,18,oshv1,A,2,89,216
12,1,18,oshv1,A,2,90,216
12,1,18,oshv1,A,2,91,216
12,1,18,oshv1,A,2,92,216
12,1,18,oshv1,A,1,93,216
12,1,21,oshv1,N,2,94,252
12,1,21,oshv1,A,2,95,252
12,1,21,oshv1,A,2,96,252
13,1,18,oshv1,A,2,97,234
13,1,18,oshv1,N,1,98,234
14,1,18,oshv1,A,1,99,252
15,1,18,oshv1,A,1,100,270
15,1,21,oshv1,N,1,101,315
16,1,18,oshv1,A,1,102,288
16,0,15,oshv1,N,1,103,240
16,0,15,oshv1,N,1,104,240
16,0,15,oshv1,N,1,105,240
16,0,15,oshv1,N,1,106,240
16,0,15,oshv1,N,1,107,240
16,0,15,oshv1,N,1,108,240
16,0,15,oshv1,N,1,109,240
16,0,15,oshv1,N,1,110,240
16,0,15,oshv1,N,1,111,240
16,0,15,oshv1,N,1,112,240
16,0,15,oshv1,N,2,113,240
16,0,15,oshv1,N,2,114,240
16,0,15,oshv1,N,2,115,240
16,0,15,oshv1,N,2,116,240
16,0,15,oshv1,N,2,117,240
16,0,15,oshv1,N,2,118,240
16,0,15,oshv1,N,2,119,240
16,0,15,oshv1,N,2,120,240
16,0,15,oshv1,N,2,121,240
16,0,15,oshv1,N,2,122,240
16,0,15,oshv1,A,1,123,240
16,0,15,oshv1,A,1,124,240
16,0,15,oshv1,A,1,125,240
16,0,15,oshv1,A,1,126,240
16,0,15,oshv1,A,1,127,240
16,0,15,oshv1,A,1,128,240
16,0,15,oshv1,A,1,129,240
16,0,15,oshv1,A,1,130,240
16,0,15,oshv1,A,1,131,240
16,0,15,oshv1,A,1,132,240
16,0,15,oshv1,A,2,133,240
16,0,15,oshv1,A,2,134,240
16,0,15,oshv1,A,2,135,240
16,0,15,oshv1,A,2,136,240
16,0,15,oshv1,A,2,137,240
16,0,15,oshv1,A,2,138,240
16,0,15,oshv1,A,2,139,240
16,0,15,oshv1,A,2,140,240
16,0,15,oshv1,A,2,141,240
16,0,15,oshv1,A,2,142,240
16,0,18,oshv1,N,2,143,288
16,0,18,oshv1,N,2,144,288
16,0,18,oshv1,N,2,145,288
16,0,18,oshv1,N,1,146,288
16,0,18,oshv1,N,1,147,288
16,0,18,oshv1,A,1,148,288
16,0,18,oshv1,A,2,149,288
16,0,21,oshv1,N,2,150,336
16,0,21,oshv1,N,2,151,336
16,0,21,oshv1,A,2,152,336
16,0,24,oshv1,N,2,153,384
16,0,24,oshv1,N,1,154,384
16,0,24,oshv1,N,2,155,384
16,0,24,oshv1,N,2,156,384
16,0,24,oshv1,N,2,157,384
16,0,24,oshv1,N,2,158,384
16,0,24,oshv1,A,2,159,384